street,length
Fenno St,657.0014035
Florence St,655.0236316
Warren St,652.3093875
Audrey St,651.8710314
Churchill Ave,650.5044347
Riverside Rd,645.1275611
Farrar St,641.0952602
Wheeler St,639.6206368
Kelley St,637.0641612
Gurney St,636.4359425
Cambridgeside Pl,633.2828792
Bolton St,628.3271315
May St,627.4775333
West St,627.2776672
Grant St,627.1694168
Hilliard St,624.3111331
Blakeslee St,616.7042665
Fountain Ter,609.9253983
Royal Ave,601.640446
Corcoran Ln,598.6174528
Cambridge Ter,596.5685221
Sunset Rd,594.8429304
Hingham St,589.8451191
St Mary Rd,587.3156448
Leighton St,586.7592519
York St,582.4306213
Myrtle Ave,580.9877922
Milton St,579.0677561
Hayward St,577.393167
Prince St,576.0645521
Copley St,574.8915815
North St,573.0748314
Buena Vista Pk,572.7889616
Berkeley Pl,570.1190124
Amesbury St,569.2961652
Child St,565.4653639
Suffolk St,564.302595
Evereteze Way,562.4270792
Manassas Ave,559.9320143
High St,559.7765719
Dickinson St,553.7795266
East St,549.0528085
Cadbury Rd,545.1319728
Upton St,544.2128413
Springfield St,543.6454342
Holworthy Pl,542.494672
University Rd,542.4777845
Meacham Rd,542.1866591
Day St,541.6585088
Eliot Bridge,541.5921478
Carver St,539.60029
Gibson St,536.6984607
Dover St,536.365222
Cross St,532.7929095
Hastings Ave,532.5129445
Oak St,531.6072442
South St,531.5222822
Brookford St,529.5537501
St Paul St,529.4875509
Kirkland Pl,526.1986041
Traill St,525.2496815
Walnut Ave,523.7822496
Decatur St,519.2699044
Weeks Footbridge,517.879724
Mercer Cir,517.1967046
Story St,517.1782259
Tufts St,516.4700992
Gray St,516.3421888
Lopez St,515.0083033
Gerrys Lndg,512.2409411
Fern St,512.1202739
Rindgefield St,510.6671086
Mt Pleasant St,507.0193041
Munroe St,506.8691546
Watson St,500.7606686
Loomis St,499.5262421
Tudor St,495.8126602
Bellevue Ave,495.6244468
Corporal McTernan St,494.5760284
Lawrence St,494.2689081
Perry St,492.7001854
Newport Rd,491.2290792
Birch St,483.7774556
Emily St,483.1453146
Felton St,478.8997625
Blake St,478.7236942
Arrow St,478.0794755
Murdock St,476.1230658
Hurlbut St,475.6265046
Channing Pl,472.2292761
Healey St,470.7217829
Phillips Pl,465.6236163
Hutchinson St,463.2317306
Seven Pines Ave,463.0904172
Newell St,462.7715692
Harrison Ave,461.7905582
Andrew St,460.7615277
Fairmont Ave,459.7969225
Memorial Way,457.3221614
Linden St,456.2065243
Adley Rd,451.3377211
Irving Ter,450.335348
Shady Hill Rd,444.8820193
Flanders Rd,444.7100116
Corporal Burns Rd,444.3734376
Athens St,443.1152401
Western Avenue Bridge,440.8542152
Woodbridge St,438.9000662
Bennett St,438.4049619
Holyoke Pl,431.6826084
Richard Ave,431.5030373
Lambert St,430.1796098
Tierney St,429.9789483
Tenney St,429.7217335
Rockwell St,428.9514972
Muller Ave,427.3499471
Esten St,426.8146488
Kenwood St,423.8003775
Harrington Rd,422.5577558
River Street Bridge,422.1560039
Foch St,421.3958538
Holly Ave,418.6838494
Agassiz St,418.203013
Tyler Ct,413.1476469
Whittier St,412.0735442
Water St,411.8516262
Remington St,411.205535
Scouting Way,411.1287125
Gray Gardens West,406.9390724
Vincent St,406.5998098
Jefferson Pk,405.3358086
Lopez Ave,405.2877719
Riedesel Ave,404.8330901
Humboldt St,401.3479656
Elmer St,400.0208547
Vineyard St,399.7581188
Bates St,397.8686152
Concord Ln,397.2846761
Hillside Ave,397.0272761
Inman Pl,396.9266099
Pleasant Pl,393.3869071
Merriam St,392.1999535
Cottage Park Ave,389.9399204
Portsmouth St,389.592414
Wood St,388.4790356
Miller Ave,386.7673928
Spruce Ave,384.9847763
Camp St,384.1823949
Mead St,381.3252944
Gerry St,381.072736
Shaler Ln,380.0290139
Hadley St,378.3145151
Van Norden St,378.2263152
Speridakis Ter,378.1468283
Rutland St,377.1897059
Rockingham St,375.6498671
Allen St,374.5249132
Sullivan Rd,374.5182698
Shady Hill Sq,374.3751794
Palmer St,374.0966476
Montague St,372.2568739
Fainwood Cir,370.3332002
Ericsson St,368.8132589
Douglass St,364.0445555
Davis St,362.5883307
Oakland St,362.5647557
Longfellow Rd,359.6628953
Cornelius Way,357.7953728
Palermo St,357.2974089
Moore St,354.7906803
Revere St,353.7414798
Worthington St,351.6718679
Laurel St,351.0927964
Acacia St,347.3094486
Greenough Ave,347.3093004
Marney St,346.8058855
Alberta Ter,346.0460822
Marcella St,345.9562244
Hardwick St,345.3523218
Malcolm Rd,345.1348559
Locust St,344.4535021
Whitney Ave,341.2262127
Peters St,340.7734534
Cleveland St,340.0933309
Marie Ave,339.9667335
Hastings Sq,339.8099134
Sheridan St,338.8226154
Rufo Rd,337.57473
Grove Ave,336.9301578
Hews St,335.2510774
Verdun St,334.3720246
Boardman St,332.7683636
Seckel St,326.7113772
Endicott St,326.3961949
Edmunds St,321.8664291
Gladstone St,320.4318264
Surrey St,319.9128069
Saginaw Ave,317.9379992
Kennedy Rd,316.5450468
Newman St,316.4484718
Wright St,314.8104752
Hemlock Rd,314.4140017
Howland St,313.8352213
Cogswell Pl,312.4021463
Michael Way,312.0987686
Maynard Pl,310.348036
Danforth St,310.2186835
Carlisle St,308.7491255
Norman St,305.6901835
White Street Pl,305.1633702
Cambridgepark Pl,304.5486526
Salem St,300.1958553
Marion St,300.0639947
Goodman Rd,299.7539218
Ivy St,295.7131779
Traymore St,295.2180688
Hazel St,294.972151
Kimball St,294.5255292
Hayes St,291.3660473
Broadway Ter,289.9969151
Merrill St,287.9871461
